holdout	context_config	context_label	metric	n_pairs	mean_delta	sd_delta	median_delta	min_delta	max_delta	n_improved	n_worsened	wilcoxon_statistic	wilcoxon_p
unseen_both	expression_regulons	Expression + regulons	test_synergy_auroc	5	0.01958907892601709	0.024008125210660383	0.012792319453468037	-0.0037481603456938073	0.049440203563937635	3	2	3.0	0.3125
unseen_both	expression_regulons	Expression + regulons	test_synergy_auprc	5	-0.005766660321033712	0.012341137796612075	-0.0007927571660115151	-0.02760400577156602	0.002162130680711305	2	3	4.0	0.4375
unseen_both	pathways	Pathways only	test_macro_f1	5	0.024819487835958064	0.03342812116026437	0.03941199141311941	-0.01493615573203061	0.05507547004204105	3	2	3.0	0.3125
unseen_both	pathways	Pathways only	test_balanced_accuracy	5	0.03868249879024845	0.032971222743204784	0.04939717835809604	-0.0068736480539497435	0.07673967102097157	4	1	1.0	0.125
unseen_both	pathways	Pathways only	test_macro_ovr_auroc	5	0.0703695002991426	0.05185012014858997	0.1028606178512057	0.0023732287942355157	0.11462676752321388	5	0	0.0	0.0625
unseen_both	pathways	Pathways only	test_macro_auprc	5	0.02417284710260852	0.028633139051505527	0.03956420744426142	-0.011611032772924856	0.048734554059384594	3	2	3.0	0.3125
unseen_both	pathways	Pathways only	test_antagonism_f1	5	0.054757239978699655	0.05241557210920127	0.06478693086864251	-0.008504662661370344	0.12271087265740716	4	1	1.0	0.125
unseen_both	pathways	Pathways only	test_antagonism_auroc	5	0.11760199354749667	0.06978397403132876	0.13812741537559103	0.026288085297263675	0.18552901038611502	5	0	0.0	0.0625
unseen_both	pathways	Pathways only	test_antagonism_auprc	5	0.03032260984329016	0.04152592589924393	0.05088533027434286	-0.028439103473812705	0.07286888991398259	4	1	2.0	0.1875
unseen_both	pathways	Pathways only	test_no_interaction_f1	5	-0.010365565071756877	0.036713011645921216	-0.01689095319579892	-0.060133158766921824	0.03969473299691029	2	3	5.0	0.625
unseen_both	pathways	Pathways only	test_no_interaction_auroc	5	0.044583013375312855	0.04473266361763712	0.05702677633115316	-0.011826253396034714	0.08917936513797697	4	1	2.0	0.1875
unseen_both	pathways	Pathways only	test_no_interaction_auprc	5	0.022006102623784662	0.02270485629566296	0.03142514429786325	-0.006577822715002513	0.04515188487513855	4	1	2.0	0.1875
unseen_both	pathways	Pathways only	test_synergy_f1	5	0.0300667886009313	0.03149977059471677	0.032055832709332155	-0.019412851338922704	0.06074474626057019	4	1	1.0	0.125
unseen_both	pathways	Pathways only	test_synergy_auroc	5	0.04892349397461828	0.04565975241703991	0.06602606683634904	-0.007342145518522525	0.09667392007413456	4	1	1.0	0.125
unseen_both	pathways	Pathways only	test_synergy_auprc	5	0.020189828840750757	0.02418266596082985	0.03581723544949861	-0.011820444937171465	0.04038637806080775	4	1	2.0	0.1875
unseen_both	pathways_regulons	Pathways + regulons	test_macro_f1	5	0.0032267256249233324	0.010207864490849563	0.0026117424870486516	-0.01270209450093085	0.014163847456167944	4	1	4.0	0.4375
unseen_both	pathways_regulons	Pathways + regulons	test_balanced_accuracy	5	0.004691149393795136	0.007242349368606968	0.007285128794128792	-0.007636640056908617	0.011176625202925117	4	1	3.0	0.3125
unseen_both	pathways_regulons	Pathways + regulons	test_macro_ovr_auroc	5	0.006382257482566623	0.022628531730535133	0.01826422100349001	-0.02334228229869728	0.025597161431608395	3	2	4.0	0.4375
unseen_both	pathways_regulons	Pathways + regulons	test_macro_auprc	5	0.0010413844377089921	0.02074741251023276	0.009756563606404756	-0.027085814117853158	0.0232913487494662	3	2	7.0	1.0
unseen_both	pathways_regulons	Pathways + regulons	test_antagonism_f1	5	0.01799249907627542	0.028980346558784374	0.014765415640771024	-0.006968062576225703	0.06592269861006664	3	2	3.0	0.3125
unseen_both	pathways_regulons	Pathways + regulons	test_antagonism_auroc	5	0.0382105689934785	0.055668950459683474	0.04874943928780917	-0.04475453745557423	0.1045064438770229	4	1	2.0	0.1875
unseen_both	pathways_regulons	Pathways + regulons	test_antagonism_auprc	5	0.007108168860281231	0.02810875826284545	0.013948781134124122	-0.03722382599910304	0.03810639051223587	4	1	4.0	0.4375
unseen_both	pathways_regulons	Pathways + regulons	test_no_interaction_f1	5	0.0009515680057043286	0.03655975046065263	-0.009997534930599405	-0.03546987786851585	0.06235613073967239	1	4	5.0	0.625
unseen_both	pathways_regulons	Pathways + regulons	test_no_interaction_auroc	5	-0.005463874028686089	0.04380688810727626	-0.02335977189264349	-0.04368080083577164	0.05941535662853803	2	3	6.0	0.8125
unseen_both	pathways_regulons	Pathways + regulons	test_no_interaction_auprc	5	-0.0018960179384867938	0.04075728454038162	0.009228193320303002	-0.044677462948440216	0.04643281120914622	3	2	7.0	1.0
unseen_both	pathways_regulons	Pathways + regulons	test_synergy_f1	5	-0.009263890207209764	0.033733383302337855	-0.0019326706542163175	-0.04808993621832125	0.03827852610659649	2	3	5.0	0.625
unseen_both	pathways_regulons	Pathways + regulons	test_synergy_auroc	5	-0.013599922517092656	0.04507216210881119	-0.027563439914791488	-0.05052808918541174	0.06213066512186116	1	4	5.0	0.625
unseen_both	pathways_regulons	Pathways + regulons	test_synergy_auprc	5	-0.002087997608667497	0.020772629201583393	0.0006438465939836713	-0.03189135342329483	0.022205671662260312	3	2	7.0	1.0
unseen_both	regulons	Regulons only	test_macro_f1	5	0.013048058826534781	0.022765877951427007	0.010350717708742962	-0.015929682851609728	0.04241842985475186	4	1	3.0	0.3125
unseen_both	regulons	Regulons only	test_balanced_accuracy	5	0.0092649643088487	0.02581334337774327	0.005503030966632683	-0.02841466186822239	0.03459544185340235	4	1	3.0	0.3125
unseen_both	regulons	Regulons only	test_macro_ovr_auroc	5	0.024002332583153364	0.037945452804790385	0.03730529193057963	-0.03786844154246416	0.0599324230095849	4	1	3.0	0.3125
unseen_both	regulons	Regulons only	test_macro_auprc	5	0.014667473061396341	0.027113180046494458	0.0267869437660887	-0.02880457318178553	0.0375838212851875	4	1	3.0	0.3125
unseen_both	regulons	Regulons only	test_antagonism_f1	5	0.02786448122150928	0.06184524251851907	0.0186551891637933	-0.05037285703060582	0.12163705365035699	4	1	4.0	0.4375
unseen_both	regulons	Regulons only	test_antagonism_auroc	5	0.031157189192919477	0.07518446728259547	0.03219050843656179	-0.05219911321210435	0.12105830112832539	3	2	5.0	0.625
unseen_both	regulons	Regulons only	test_antagonism_auprc	5	0.01908507006307498	0.057653221370073345	0.01068232838358818	-0.05306183710682058	0.10779894328500393	4	1	4.0	0.4375
unseen_both	regulons	Regulons only	test_no_interaction_f1	5	0.01652828948669489	0.030317188994853594	0.004674467396133086	-0.012210837908583239	0.05180302803918768	3	2	5.0	0.625
unseen_both	regulons	Regulons only	test_no_interaction_auroc	5	0.019497701702917713	0.04486111701417774	0.010872407984176213	-0.025966147625051228	0.08773319047108286	3	2	5.0	0.625
unseen_both	regulons	Regulons only	test_no_interaction_auprc	5	0.02213172324381516	0.03342422415275848	0.01050153292956979	-0.009669707620890922	0.06751683254813556	3	2	3.0	0.3125
unseen_both	regulons	Regulons only	test_synergy_f1	5	-0.00524859422859984	0.04021185779875962	-0.0028100565379526043	-0.05161280442672575	0.05679707236127468	1	4	5.0	0.625
unseen_both	regulons	Regulons only	test_synergy_auroc	5	0.021352106853622897	0.059584214176497265	0.02880482615353086	-0.05356402862926912	0.09697927413801521	3	2	4.0	0.4375
unseen_both	regulons	Regulons only	test_synergy_auprc	5	0.0027856258772988585	0.024289998543819583	0.010632819929854626	-0.023682174817645035	0.026725147222896095	3	2	6.0	0.8125
unseen_cell_line	expression	Expression only	test_macro_f1	5	-0.002594272712997181	0.014605956253768856	0.005068320031287876	-0.020446892881021916	0.012941964184815913	3	2	6.0	0.8125
unseen_cell_line	expression	Expression only	test_balanced_accuracy	5	0.0025042626697126423	0.013690482242299297	0.007070486036358625	-0.020072488380862397	0.01609857031168005	4	1	5.0	0.625
unseen_cell_line	expression	Expression only	test_macro_ovr_auroc	5	0.003579109928934221	0.014388372812223757	-0.0016413440665512535	-0.010569512622225719	0.027420539126055354	2	3	7.0	1.0
unseen_cell_line	expression	Expression only	test_macro_auprc	5	-0.003821396368225938	0.004930060559880034	-0.004028350686216209	-0.009265209005134611	0.0031372869892211663	1	4	2.0	0.1875
unseen_cell_line	expression	Expression only	test_antagonism_f1	5	-7.619738668569464e-05	0.011924335444495861	-0.0027994688978963955	-0.01689520716653181	0.01241371580233186	2	3	7.0	1.0
