feature	n_drugs_active	fraction_drugs_active
morgan_0377	80	0.009765625
morgan_0378	3307	0.4036865234375
morgan_0379	66	0.008056640625
morgan_0380	90	0.010986328125
morgan_0381	305	0.0372314453125
morgan_0382	22	0.002685546875
morgan_0383	283	0.0345458984375
morgan_0384	107	0.0130615234375
morgan_0385	132	0.01611328125
morgan_0386	40	0.0048828125
morgan_0387	402	0.049072265625
morgan_0388	33	0.0040283203125
morgan_0389	2479	0.3026123046875
morgan_0390	62	0.007568359375
morgan_0391	35	0.0042724609375
morgan_0392	669	0.0816650390625
morgan_0393	29	0.0035400390625
morgan_0394	119	0.0145263671875
morgan_0395	63	0.0076904296875
morgan_0396	43	0.0052490234375
morgan_0397	94	0.011474609375
morgan_0398	33	0.0040283203125
morgan_0399	26	0.003173828125
morgan_0400	77	0.0093994140625
morgan_0401	225	0.0274658203125
morgan_0402	38	0.004638671875
morgan_0403	50	0.006103515625
morgan_0404	56	0.0068359375
morgan_0405	60	0.00732421875
morgan_0406	63	0.0076904296875
morgan_0407	562	0.068603515625
morgan_0408	139	0.0169677734375
morgan_0409	156	0.01904296875
morgan_0410	55	0.0067138671875
morgan_0411	62	0.007568359375
morgan_0412	118	0.014404296875
morgan_0413	57	0.0069580078125
morgan_0414	104	0.0126953125
morgan_0415	36	0.00439453125
morgan_0416	24	0.0029296875
morgan_0417	31	0.0037841796875
morgan_0418	59	0.0072021484375
morgan_0419	252	0.03076171875
morgan_0420	52	0.00634765625
morgan_0421	31	0.0037841796875
morgan_0422	64	0.0078125
morgan_0423	72	0.0087890625
morgan_0424	103	0.0125732421875
morgan_0425	103	0.0125732421875
morgan_0426	89	0.0108642578125
morgan_0427	95	0.0115966796875
morgan_0428	180	0.02197265625
morgan_0429	47	0.0057373046875
morgan_0430	153	0.0186767578125
morgan_0431	79	0.0096435546875
morgan_0432	107	0.0130615234375
morgan_0433	32	0.00390625
morgan_0434	52	0.00634765625
morgan_0435	53	0.0064697265625
morgan_0436	24	0.0029296875
morgan_0437	156	0.01904296875
morgan_0438	58	0.007080078125
morgan_0439	42	0.005126953125
morgan_0440	145	0.0177001953125
morgan_0441	316	0.03857421875
morgan_0442	54	0.006591796875
morgan_0443	45	0.0054931640625
morgan_0444	73	0.0089111328125
morgan_0445	60	0.00732421875
morgan_0446	227	0.0277099609375
morgan_0447	39	0.0047607421875
