drug_id	dname	smiles_cleanup_status	n_active_bits	fraction_active_bits	n_atoms	n_heavy_atoms	n_fragments	molecular_weight_rdkit	formal_charge
129	Aliskiren	original	63	0.03076171875	39.0	39.0	1.0	551.7690000000002	0.0
130	chloroquine	original	44	0.021484375	22.0	22.0	1.0	319.88	0.0
131	DEXMEDETOMIDINE	original	30	0.0146484375	15.0	15.0	1.0	200.285	0.0
132	zaleplon	original	51	0.02490234375	23.0	23.0	1.0	305.34100000000007	0.0
133	maprotiline	original	34	0.0166015625	21.0	21.0	1.0	277.41100000000006	0.0
134	ISOSORBIDE DINITRATE	original	21	0.01025390625	16.0	16.0	1.0	236.13599999999997	0.0
135	argatroban	original	69	0.03369140625	35.0	35.0	1.0	508.6450000000002	0.0
136	PYRIDOSTIGMINE BROMIDE	original	30	0.0146484375	14.0	14.0	2.0	261.11899999999997	0.0
137	AZATADINE	original	34	0.0166015625	22.0	22.0	1.0	290.41	0.0
138	pramipexole	original	35	0.01708984375	14.0	14.0	1.0	211.33399999999997	0.0
139	carbachol	original	21	0.01025390625	11.0	11.0	2.0	182.65099999999998	0.0
140	Asenapine	original	34	0.0166015625	20.0	20.0	1.0	285.774	0.0
141	Norcisapride	original	47	0.02294921875	21.0	21.0	1.0	313.78499999999997	0.0
142	amodiaquine	original	46	0.0224609375	25.0	25.0	1.0	355.8690000000001	0.0
143	rosiglitazone	original	48	0.0234375	25.0	25.0	1.0	357.435	0.0
144	AMILORIDE	original	27	0.01318359375	15.0	15.0	1.0	229.63099999999997	0.0
145	hydroxychloroquine	original	49	0.02392578125	23.0	23.0	1.0	335.8790000000001	0.0
146	clopidogrel	original	45	0.02197265625	21.0	21.0	1.0	321.829	0.0
147	tranylcypromine	original	18	0.0087890625	10.0	10.0	1.0	133.19399999999996	0.0
148	oseltamivir	original	43	0.02099609375	22.0	22.0	1.0	312.4100000000001	0.0
149	OXYPHENONIUM BROMIDE	original	44	0.021484375	26.0	26.0	2.0	428.41099999999994	0.0
150	dopamine	original	21	0.01025390625	11.0	11.0	1.0	153.181	0.0
151	trifluoperazine	original	44	0.021484375	28.0	28.0	1.0	407.5050000000001	0.0
152	Maraviroc	original	61	0.02978515625	37.0	37.0	1.0	513.6770000000002	0.0
153	Ulipristal acetate	original	61	0.02978515625	35.0	35.0	1.0	475.62900000000025	0.0
154	Olmesartan	original	58	0.0283203125	33.0	33.0	1.0	446.5110000000002	0.0
155	DIPHENIDOL	original	30	0.0146484375	23.0	23.0	1.0	309.45300000000003	0.0
156	pargyline	original	24	0.01171875	12.0	12.0	1.0	159.232	0.0
157	memantine	original	19	0.00927734375	13.0	13.0	1.0	179.307	0.0
158	fluvoxamine	original	40	0.01953125	22.0	22.0	1.0	318.339	0.0
159	3-Amino-2-oxazolidinone	original	18	0.0087890625	7.0	7.0	1.0	102.093	0.0
160	Ibutilide	original	41	0.02001953125	26.0	26.0	1.0	384.58600000000007	0.0
161	proguanil	original	31	0.01513671875	17.0	17.0	1.0	253.73700000000005	0.0
162	sertraline	original	34	0.0166015625	20.0	20.0	1.0	306.236	0.0
163	naltrexone	original	53	0.02587890625	25.0	25.0	1.0	341.407	0.0
164	VECURONIUM BROMIDE	original	60	0.029296875	41.0	41.0	2.0	637.7440000000004	0.0
165	minoxidil	original	30	0.0146484375	15.0	15.0	1.0	209.25300000000001	0.0
166	trihexyphenidyl	original	34	0.0166015625	22.0	22.0	1.0	301.47399999999993	0.0
167	Levonorgestrel	original	47	0.02294921875	23.0	23.0	1.0	312.45300000000003	0.0
168	imipramine	original	29	0.01416015625	21.0	21.0	1.0	280.415	0.0
169	flumazenil	original	49	0.02392578125	22.0	22.0	1.0	303.29300000000006	0.0
170	pentamidine	original	24	0.01171875	25.0	25.0	1.0	340.42699999999996	0.0
171	CANRENONE	original	43	0.02099609375	25.0	25.0	1.0	340.46300000000014	0.0
172	Dronedarone	original	58	0.0283203125	39.0	39.0	1.0	556.7690000000003	0.0
173	methyclothiazide	original	41	0.02001953125	20.0	20.0	1.0	360.244	0.0
174	testosterone	original	39	0.01904296875	21.0	21.0	1.0	288.43100000000004	0.0
175	riluzole	original	31	0.01513671875	15.0	15.0	1.0	234.20199999999997	0.0
176	triamterene	original	28	0.013671875	19.0	19.0	1.0	253.26899999999995	0.0
177	Cevimeline	original	27	0.01318359375	13.0	13.0	1.0	199.31899999999996	0.0
178	bumetanide	original	46	0.0224609375	25.0	25.0	1.0	364.42300000000006	0.0
179	cytarabine	original	37	0.01806640625	17.0	17.0	1.0	243.21900000000002	0.0
180	loperamide	original	47	0.02294921875	34.0	34.0	1.0	477.04800000000006	0.0
181	nisoldipine	original	47	0.02294921875	28.0	28.0	1.0	388.42000000000013	0.0
182	sumatriptan	original	41	0.02001953125	20.0	20.0	1.0	295.408	0.0
183	Sitagliptin	original	50	0.0244140625	28.0	28.0	1.0	407.3180000000001	0.0
184	disulfiram	original	16	0.0078125	16.0	16.0	1.0	296.5520000000001	0.0
185	tamoxifen	original	35	0.01708984375	28.0	28.0	1.0	371.52400000000006	0.0
186	Saxagliptin	original	43	0.02099609375	23.0	23.0	1.0	315.41700000000003	0.0
187	Ezetimibe	original	43	0.02099609375	30.0	30.0	1.0	409.4320000000001	0.0
188	cisapride	original	64	0.03125	32.0	32.0	1.0	465.95300000000026	0.0
189	risperidone	original	61	0.02978515625	30.0	30.0	1.0	410.49300000000017	0.0
