source	n_targets	mean_abs_prior_weight
POU2F3	10	1.0
SMARCA4	10	1.0
E4F1	10	1.0
FOXI1	10	1.0
TBPL2	10	1.0
FEZF1	10	1.0
PHF20	10	1.0
RREB1	10	1.0
DLX1	10	1.0
HDAC5	10	1.0
TLX1	10	1.0
GRHL2	10	1.0
HOXD3	10	1.0
SPIC	10	1.0
PRDM4	9	1.0
BMAL2	9	1.0
NFE2L1	9	1.0
FEZF2	9	1.0
HES6	9	1.0
BCLAF1	9	1.0
LMX1A	9	1.0
ARID5B	9	1.0
GBX2	9	1.0
MAFG	9	1.0
HIPK2	9	1.0
PEG3	9	1.0
NFKBIZ	9	1.0
ETV2	9	1.0
CREB3L3	9	1.0
DMRT1	9	1.0
PBRM1	9	1.0
MXI1	9	1.0
TFAP2D	9	1.0
HOXB3	9	1.0
ZBTB18	9	1.0
UBTF	9	1.0
PLAGL2	9	1.0
SMARCC1	9	1.0
WWTR1	9	1.0
YAP1	9	1.0
MYOCD	9	1.0
HOXA11	9	1.0
PAX4	9	1.0
EBF3	9	1.0
MEIS2	9	1.0
HOPX	9	1.0
MYT1	9	1.0
OLIG1	8	1.0
NSD2	8	1.0
ZNF335	8	1.0
SIX4	8	1.0
ZMYND8	8	1.0
KAT6B	8	1.0
SHOX2	8	1.0
ZNF300	8	1.0
ARID1A	8	1.0
NKX3-2	8	1.0
DACH1	8	1.0
HCFC1	8	1.0
FOXF1	8	1.0
TFEB	8	1.0
TSC22D1	8	1.0
DOT1L	8	1.0
PLAG1	8	1.0
MESP2	8	1.0
VEZF1	8	1.0
MEOX1	8	1.0
TBX20	8	1.0
ATF7	8	1.0
FOXE1	8	1.0
TADA2A	8	1.0
BACH2	8	1.0
BARX1	8	1.0
GLIS3	8	1.0
PARK7	8	1.0
FOXN4	8	1.0
RORB	7	1.0
ZNF76	7	1.0
ZNF436	7	1.0
ZIC2	7	1.0
ZNF395	7	1.0
TBR1	7	1.0
SOX3	7	1.0
ZBTB14	7	1.0
TCF15	7	1.0
ZNF160	7	1.0
SON	7	1.0
PRRX1	7	1.0
SALL1	7	1.0
RXRG	7	1.0
ZNF202	7	1.0
SMAD9	7	1.0
NFE2L3	7	1.0
NR1D2	7	1.0
E2F7	7	1.0
GTF2IRD1	7	1.0
HDGF	7	1.0
HES5	7	1.0
HOXA2	7	1.0
HOXB9	7	1.0
HOXC13	7	1.0
HOXD1	7	1.0
NAB2	7	1.0
IKZF4	7	1.0
KDM5D	7	1.0
LHX4	7	1.0
MEF2B	7	1.0
MEOX2	7	1.0
MKX	7	1.0
MTF2	7	1.0
FHL2	7	1.0
MTA2	7	1.0
BCOR	7	1.0
ARID3A	7	1.0
TFDP2	6	1.0
LHX1	6	1.0
ZNF217	6	1.0
INSM1	6	1.0
SALL2	6	1.0
ARID4A	6	1.0
RFX3	6	1.0
RFX2	6	1.0
ARID3B	6	1.0
IKZF3	6	1.0
PRDM16	6	1.0
POU4F3	6	1.0
ZNF410	6	1.0
MIXL1	6	1.0
AIP	6	1.0
MNX1	6	1.0
AHRR	6	1.0
SETBP1	6	1.0
HOXD4	6	1.0
TEAD2	6	1.0
BTG2	6	1.0
TCF7L1	6	1.0
ELK4	6	1.0
FEV	6	1.0
TFDP3	6	1.0
FOXD1	6	1.0
THAP11	6	1.0
TLX3	6	1.0
SP6	6	1.0
TOX3	6	1.0
PIN1	6	1.0
HEYL	6	1.0
HIF3A	6	1.0
HIVEP3	6	1.0
SOX18	6	1.0
TRIM28	6	1.0
TSHZ3	6	1.0
CHD4	6	1.0
SOX7	6	1.0
ZXDC	6	1.0
NHLH2	6	1.0
NUPR1	6	1.0
PAX1	6	1.0
PIAS1	6	1.0
PAWR	6	1.0
NKX6-3	6	1.0
ZBTB38	5	1.0
NPAS4	5	1.0
TBX10	5	1.0
NHLH1	5	1.0
DAXX	5	1.0
FIGLA	5	1.0
HOXD8	5	1.0
ATRX	5	1.0
PA2G4	5	1.0
VSX1	5	1.0
HOXD10	5	1.0
TOX	5	1.0
TCF20	5	1.0
LMO4	5	1.0
NKX6-2	5	1.0
ZNF24	5	1.0
IKZF2	5	1.0
NACC1	5	1.0
NCOA6	5	1.0
ASXL1	5	1.0
RFX4	5	1.0
KLF17	5	1.0
IRF2BPL	5	1.0
SUPT20H	5	1.0
ZNF219	5	1.0
RLF	5	1.0
STOX1	5	1.0
VENTX	5	1.0
FOXO6	5	1.0
IRX4	5	1.0
UTF1	5	1.0
ARID1B	5	1.0
ZFX	5	1.0
PPARGC1B	5	1.0
SMARCB1	5	1.0
ZFP64	5	1.0
ZNF423	5	1.0
HOXA4	5	1.0
DMAP1	5	1.0
POU2AF1	5	1.0
ZBTB32	5	1.0
HOXB5	5	1.0
PHF5A	5	1.0
AEBP1	5	1.0
MAML1	5	1.0
HOXB6	5	1.0
MLX	5	1.0
MLXIP	5	1.0
NFX1	5	1.0
POU3F4	5	1.0
TLX2	5	1.0
BPTF	4	1.0
SOX8	4	1.0
SOHLH1	4	1.0
HMGXB4	4	1.0
DNMT3L	4	1.0
CITED2	4	1.0
SNW1	4	1.0
HMGB1	4	1.0
VAX2	4	1.0
ASH1L	4	1.0
BSX	4	1.0
GSX1	4	1.0
CAMTA1	4	1.0
ATF6B	4	1.0
ZIC3	4	1.0
HOXC11	4	1.0
CASZ1	4	1.0
UNCX	4	1.0
HOXC9	4	1.0
SKI	4	1.0
XPC	4	1.0
CDX4	4	1.0
