source	target	prior_weight	rho	abs_rho
MITF	SERPINF1	1.0	-0.03870294116132052	0.03870294116132052
MITF	CD40LG	1.0	-0.10771391795439467	0.10771391795439467
MITF	APEX1	1.0	-0.17224818038428	0.17224818038428
MITF	GPR143	1.0	0.24291177373133763	0.24291177373133763
MITF	NGFR	1.0	0.11258390599110393	0.11258390599110393
MITF	CADM1	1.0	0.20538124686550002	0.20538124686550002
MITF	ITGA4	1.0	-0.03579119170184131	0.03579119170184131
MITF	TPSAB1	1.0	-0.022158324000166242	0.022158324000166242
MITF	CXCL8	-1.0	0.3131673351516745	0.3131673351516745
MITF	EDNRB	1.0	0.3348451891800847	0.3348451891800847
MITF	MYL1	1.0	0.052434886475530074	0.052434886475530074
MITF	SDC1	-1.0	0.1785860756629892	0.1785860756629892
MITF	PTGDS	1.0	0.13043019840433115	0.13043019840433115
MITF	SLC45A2	1.0	0.18303604402091456	0.18303604402091456
MITF	BAD	1.0	0.15366047946191	0.15366047946191
MITF	NDST2	-1.0	-0.12398372262654457	0.12398372262654457
MITF	SMAD3	-1.0	0.3567837284761742	0.3567837284761742
MITF	MKI67	-1.0	-0.16072316047518154	0.16072316047518154
MITF	PTGS2	1.0	0.2767379224573267	0.2767379224573267
MIXL1	GSC	1.0	0.08099046914745163	0.08099046914745163
MIXL1	KDR	1.0	0.003665482914030159	0.003665482914030159
MIXL1	PDGFRA	1.0	0.00897358278963862	0.00897358278963862
MIXL1	TBXT	1.0	0.14490071181838493	0.14490071181838493
MIXL1	HBA2	1.0	0.08450384727606637	0.08450384727606637
MKX	SOX6	1.0	0.12399203642047277	0.12399203642047277
MKX	MYOD1	1.0	0.11583997228005911	0.11583997228005911
MKX	SOX5	1.0	0.0203572225370889	0.0203572225370889
MKX	SCX	1.0	0.03718647513502855	0.03718647513502855
MKX	RUNX2	1.0	0.21455297445604024	0.21455297445604024
MKX	TGFB2	1.0	0.3241939581844677	0.3241939581844677
MKX	TGFB1	1.0	0.05813931601793658	0.05813931601793658
MLX	COL11A1	1.0	0.04739898775940096	0.04739898775940096
MLX	PKLR	1.0	0.03708891445921004	0.03708891445921004
MLX	TXNIP	1.0	-0.0532480580779661	0.0532480580779661
MLX	ARNT	-1.0	0.22401369200833288	0.22401369200833288
MLX	ODC1	1.0	0.19733486550524387	0.19733486550524387
MLXIP	LDHA	1.0	-0.07393185910468436	0.07393185910468436
MLXIP	PFKFB3	1.0	0.19675626723773357	0.19675626723773357
MLXIP	TXNIP	1.0	0.18646571897465833	0.18646571897465833
MLXIP	KIT	1.0	0.1535670892195014	0.1535670892195014
MLXIP	MLH1	1.0	0.07222693507600249	0.07222693507600249
MLXIPL	PKLR	1.0	0.1715193765356853	0.1715193765356853
MLXIPL	ACACA	1.0	0.2592024043843103	0.2592024043843103
MLXIPL	FASN	1.0	0.281751109727454	0.281751109727454
MLXIPL	TXNIP	1.0	0.10574370447987501	0.10574370447987501
MLXIPL	FGF21	1.0	0.3037738460165329	0.3037738460165329
MLXIPL	ARNT	-1.0	-0.036242349128190784	0.036242349128190784
MLXIPL	PPARA	-1.0	0.02829723598953082	0.02829723598953082
MLXIPL	KLF10	1.0	0.08939102616610019	0.08939102616610019
MLXIPL	GCGR	1.0	0.29568776063800306	0.29568776063800306
MLXIPL	PNPLA3	1.0	0.20646902133294312	0.20646902133294312
MLXIPL	KHK	1.0	0.29222726214515776	0.29222726214515776
MLXIPL	SLC2A4	1.0	0.37977093267628287	0.37977093267628287
MLXIPL	FAS	1.0	-0.1752928124733174	0.1752928124733174
MLXIPL	ELOVL6	1.0	0.019747183658323945	0.019747183658323945
MLXIPL	CREBBP	1.0	0.05359749641628438	0.05359749641628438
MLXIPL	PPARG	1.0	0.3477301024528526	0.3477301024528526
MNT	GLMN	1.0	0.03771959544249531	0.03771959544249531
MNT	RSPH1	1.0	0.15464855027191318	0.15464855027191318
MNT	HAP1	1.0	0.12429585678609567	0.12429585678609567
MNT	CCND2	1.0	-0.030332118494275532	0.030332118494275532
MNT	ERG	-1.0	0.061576941230938986	0.061576941230938986
MNT	TP53	1.0	0.23990817103072593	0.23990817103072593
MNT	TERT	1.0	0.25198759287782413	0.25198759287782413
MNT	MAX	1.0	0.22671927400794148	0.22671927400794148
MNT	IL1B	1.0	-0.00036774469756944457	0.00036774469756944457
MNT	KRAS	1.0	0.15765676110489138	0.15765676110489138
MNX1	IL6	1.0	-0.23663173919207606	0.23663173919207606
MNX1	PIK3R1	1.0	-0.09956399109513459	0.09956399109513459
MNX1	INS	1.0	0.11181061526754582	0.11181061526754582
MNX1	MEN1	1.0	0.07757110781501896	0.07757110781501896
MNX1	PTGER2	1.0	-0.21578111523563642	0.21578111523563642
MRTFA	SRF	1.0	0.4454594023432561	0.4454594023432561
MRTFA	COL1A1	1.0	0.18497358965768995	0.18497358965768995
MRTFA	SCAI	1.0	0.24801987526435798	0.24801987526435798
MRTFA	TAGLN	1.0	0.188607068068775	0.188607068068775
MSC	UQCRQ	1.0	0.049840432619924574	0.049840432619924574
MSC	MYOCD	1.0	0.20504499485936087	0.20504499485936087
MSC	KRT8	1.0	-0.28749551066061374	0.28749551066061374
MSC	PLAT	1.0	0.3322225174183669	0.3322225174183669
MSC	GOT1	1.0	-0.13724152051037689	0.13724152051037689
MSC	PTPRC	1.0	0.051346785738317476	0.051346785738317476
MSC	AMY2A	1.0	0.002921388758886027	0.002921388758886027
MSC	TNFRSF19	1.0	0.28423829395199907	0.28423829395199907
MSC	IBSP	1.0	0.1483496546982096	0.1483496546982096
MSC	TRIP10	1.0	0.051431881336086	0.051431881336086
MSC	AIMP2	1.0	-0.05480857461122262	0.05480857461122262
MSC	MAPK1	1.0	0.09240775624259323	0.09240775624259323
MSC	ADH4	1.0	-0.000332142842097511	0.000332142842097511
MSC	NR1I3	1.0	-0.014529697153985912	0.014529697153985912
MSC	RBFOX3	1.0	-0.0029258711991920114	0.0029258711991920114
MSC	RAP1A	1.0	0.12488691680211295	0.12488691680211295
MSC	SHBG	1.0	0.1136632350708313	0.1136632350708313
MSC	CDC25A	-1.0	-0.17179581265710742	0.17179581265710742
MSC	CDC6	-1.0	-0.09823806905427013	0.09823806905427013
MSC	CTLA4	1.0	0.20837454628870813	0.20837454628870813
MSC	DKK1	1.0	0.08900474891691626	0.08900474891691626
MSC	FOXP3	1.0	-0.028640061063493406	0.028640061063493406
MSC	IFNG	1.0	0.08361702798679292	0.08361702798679292
MSC	IL10	1.0	0.08172462135612499	0.08172462135612499
MSC	IL2RA	1.0	-0.02339573774395322	0.02339573774395322
MSC	LTA	-1.0	-0.030902254493562563	0.030902254493562563
MSC	MCM7	-1.0	-0.16973085361491902	0.16973085361491902
MSC	MMP2	1.0	0.4985015690917842	0.4985015690917842
MSC	CKM	-1.0	-0.07949552037643288	0.07949552037643288
MSGN1	WNT3A	1.0	0.10536727621642686	0.10536727621642686
MSX1	BMP2	1.0	0.08124124650290121	0.08124124650290121
MSX1	BMP4	1.0	0.22073034319310386	0.22073034319310386
MSX1	SHH	1.0	0.030213104807435644	0.030213104807435644
MSX1	H1-5	1.0	-0.06344088187042282	0.06344088187042282
MSX1	PITX1	-1.0	0.020797507887183958	0.020797507887183958
MSX1	CGA	-1.0	-0.024515152929990333	0.024515152929990333
MSX1	FSHB	-1.0	-0.024801673512447664	0.024801673512447664
MSX1	LHB	-1.0	0.002951866352218536	0.002951866352218536
MSX1	DKK1	-1.0	0.1497816625205216	0.1497816625205216
MSX1	GNRHR	-1.0	-0.06189916879948701	0.06189916879948701
MSX1	S100A4	1.0	0.07590785406555543	0.07590785406555543
MSX1	MYOD1	-1.0	0.09562481472642616	0.09562481472642616
MSX1	BGLAP	1.0	-0.016976046810524382	0.016976046810524382
MSX1	DLK1	1.0	0.04139566934244003	0.04139566934244003
MSX1	HEY1	1.0	0.17858935825714073	0.17858935825714073
MSX1	NOTCH3	1.0	0.06780844781713107	0.06780844781713107
MSX1	ZHX2	1.0	-0.061402903662703914	0.061402903662703914
MSX1	CALD1	-1.0	0.3166992254325747	0.3166992254325747
MSX1	VDR	-1.0	-0.042143781607937546	0.042143781607937546
MSX1	RUNX2	-1.0	0.0902641189446455	0.0902641189446455
MSX1	CDKN2D	1.0	0.06117627158384961	0.06117627158384961
MSX1	PTCH1	1.0	0.16545381756862818	0.16545381756862818
MSX1	SDC1	1.0	-0.019879032578425056	0.019879032578425056
MSX1	WNT1	1.0	-0.002018350644748164	0.002018350644748164
MSX1	CDH2	1.0	0.21990759712380403	0.21990759712380403
MSX1	TAGLN	1.0	0.18466182870595577	0.18466182870595577
