source	n_prior_targets	n_evaluated_nonself_targets	n_supported_targets	mean_abs_rho	median_abs_rho	max_abs_rho	fraction_supported
PDX1	85	84	32	0.11326462341214764	0.08430221012304474	0.44764462794832655	0.38095238095238093
ELF1	79	78	32	0.1138213633154125	0.07901507206184773	0.4006371589116681	0.41025641025641024
CREM	88	87	32	0.09253532972289881	0.07726695508957912	0.31506791556233127	0.367816091954023
FOSL2	42	42	31	0.24050368149376086	0.21622251367084794	0.5628783427101176	0.7380952380952381
ESRRA	49	48	31	0.14007654542074807	0.12808739023227064	0.4055730404663678	0.6458333333333334
TCF12	52	51	31	0.16712628615477274	0.12595262754431788	0.49494396641624727	0.6078431372549019
SMARCA1	54	53	31	0.14489635876927878	0.12569125943907686	0.4857632490093214	0.5849056603773585
BMAL1	59	58	31	0.11842787184483078	0.11020855172661301	0.2969319583482876	0.5344827586206896
NR1I3	60	59	31	0.1043310605865107	0.1018582044028735	0.4412830291256363	0.5254237288135594
MYOG	65	64	31	0.10957768830943823	0.09831532700073434	0.3318714281267485	0.484375
KLF2	67	66	31	0.10653187705614069	0.08860660144862913	0.3005245823854437	0.4696969696969697
PRDM1	67	66	31	0.10579036467236855	0.08833188458848566	0.35850127583783165	0.4696969696969697
HSF1	99	98	31	0.09154109972645323	0.07167813134856268	0.3509107130393997	0.3163265306122449
NR2C2	60	59	30	0.16782946377062422	0.10307021533861375	0.6167787629074637	0.5084745762711864
NKX2-1	62	61	30	0.12048353406685712	0.09858265664112442	0.31041854871372077	0.4918032786885246
DLX5	38	37	29	0.17986602440869778	0.15723855339428605	0.7666699806490042	0.7837837837837838
RARG	40	40	29	0.1780952840273139	0.1449259235743226	0.4627698063229933	0.725
NFAT5	52	51	29	0.1421495347194352	0.1065861976594048	0.41889467315029183	0.5686274509803921
GLI3	44	43	28	0.1651649656588621	0.1585047363219477	0.4386377601697536	0.6511627906976745
SP4	49	48	28	0.18360746373620707	0.13315482414103635	0.4816547044620763	0.5833333333333334
MSX2	47	47	28	0.1504059893608312	0.12517334405701738	0.4138373358602053	0.5957446808510638
REST	74	74	28	0.09541500396610546	0.07584909906608492	0.4064478603422706	0.3783783783783784
ISL1	42	41	27	0.12813966450521713	0.12987879331265226	0.28072898176959477	0.6585365853658537
TAF1	42	42	27	0.1719192109921007	0.12692937866208226	0.49429984546283706	0.6428571428571429
POU2F2	48	48	27	0.1317025475339018	0.11421241336308201	0.3766516831333664	0.5625
SIRT1	62	61	27	0.11897858797500904	0.0943651060479389	0.368748323768875	0.4426229508196721
NR2F1	58	58	27	0.12298628540858328	0.08983269401228149	0.38190136072403824	0.46551724137931033
TTF1	61	60	27	0.09878761710883212	0.08189685298395072	0.30583190009861083	0.45
ATF1	85	84	27	0.0865335999451508	0.0598149159786073	0.44341572869953605	0.32142857142857145
TFDP1	31	31	26	0.27399942334040284	0.2523168864526751	0.5496159589572849	0.8387096774193549
ELF3	32	32	26	0.2985019173323151	0.21235129008684095	0.7886119115852157	0.8125
TFAP2C	34	33	26	0.2103382680986218	0.19784308843969406	0.5026634719968213	0.7878787878787878
TBX2	33	32	26	0.2048749734466335	0.17427535090615848	0.4346694933371677	0.8125
ZBTB17	44	43	26	0.14123508932099693	0.1164843054445868	0.4731300149659867	0.6046511627906976
XBP1	55	54	26	0.11912851628374474	0.09333186144746752	0.40276028033719635	0.48148148148148145
HMGA1	73	72	26	0.0889561555662065	0.0759366230712891	0.3066477694740263	0.3611111111111111
CUX1	110	110	26	0.06666845748990766	0.05681212155886174	0.3629776816667418	0.23636363636363636
TWIST2	35	34	25	0.23038266731844964	0.1617548370305236	0.5328829165462541	0.7352941176470589
SOX10	37	36	25	0.18383074726865795	0.1491850816624692	0.6109430606071913	0.6944444444444444
APEX1	42	41	25	0.14270428854316342	0.12014843209804192	0.4564057692885164	0.6097560975609756
HBP1	48	47	25	0.11214440803308277	0.10509660154225138	0.35542835720192684	0.5319148936170213
FOXP3	54	54	25	0.10931040739500125	0.09598915993697887	0.29377479421679603	0.46296296296296297
ETV4	67	66	25	0.09391964508345545	0.0708353847206965	0.5993220649346627	0.3787878787878788
ID2	66	65	25	0.08396886571253867	0.06258574320579365	0.3539392619069053	0.38461538461538464
TFAP4	37	36	24	0.17931894106925392	0.1750308340956565	0.46764529090277324	0.6666666666666666
EBF1	34	33	24	0.165836520501898	0.15188936345411655	0.354399550527563	0.7272727272727273
CDX1	44	43	24	0.11726322346597	0.11495586411595901	0.2846380237873496	0.5581395348837209
ZNF699	55	55	24	0.12193272914176946	0.07256019012224266	0.4060982303556839	0.43636363636363634
TFE3	37	36	23	0.20291706036370413	0.1785815570988421	0.575565242602862	0.6388888888888888
HAND2	41	40	23	0.1660652638928641	0.15219045403759923	0.44743328331071136	0.575
CEBPE	36	35	23	0.14924131681094913	0.1335861006551614	0.31820804045877066	0.6571428571428571
NFATC3	40	40	23	0.1422583832528323	0.12395974132328597	0.541211803128319	0.575
HMGA2	43	42	23	0.15531001365527347	0.11791116628748002	0.6887935682878961	0.5476190476190477
BHLHE40	43	42	23	0.14749566547951157	0.11354496890071732	0.42247745339303144	0.5476190476190477
SOX17	46	45	23	0.09426060602889473	0.10163161179763178	0.21407317762710307	0.5111111111111111
ZBTB16	51	50	23	0.10437922208719726	0.09298082320800685	0.25251556892386445	0.46
FOXN1	57	56	23	0.12870849777483565	0.08132394370514046	0.4761779575442536	0.4107142857142857
NOTCH1	67	66	23	0.08211132969278896	0.06588180286861402	0.26326125249139254	0.3484848484848485
EGR2	73	72	23	0.08366353483320281	0.06344054496342329	0.5538583202057509	0.3194444444444444
ZEB2	29	29	22	0.272815667185426	0.24531864073542559	0.6804274180778545	0.7586206896551724
GTF3A	27	26	22	0.19878506960586434	0.20080041210409483	0.36522606434016713	0.8461538461538461
GABPA	39	39	22	0.1610434892893709	0.13122908635249358	0.46003560091095086	0.5641025641025641
MAX	48	47	22	0.11651724789258068	0.08439736004199154	0.3580503464582724	0.46808510638297873
NR0B1	59	58	22	0.08203670617636999	0.06353660761646139	0.2763923122006699	0.3793103448275862
MAF	65	64	22	0.10339651659136853	0.06113112319408442	0.40627929613673763	0.34375
CIITA	30	30	21	0.26510254449634346	0.2493716736435402	0.7209252726548939	0.7
ZNF143	29	29	21	0.21751154293360803	0.15867201454189064	0.47519912318606705	0.7241379310344828
RB1	34	33	21	0.15539659704651845	0.1460043094440553	0.37589644066564726	0.6363636363636364
CREBBP	36	36	21	0.18708271614384134	0.13580485919925753	0.7219980726179563	0.5833333333333334
SMAD5	35	35	21	0.13145970876955623	0.11271465818146183	0.31862988056878294	0.6
ELF4	50	49	21	0.10770615764331559	0.08844731444335283	0.29843340197010415	0.42857142857142855
SP7	46	45	21	0.10272434236151208	0.08633527837293196	0.27488303012215554	0.4666666666666667
BHLHE41	29	28	20	0.16773859969489283	0.16271078455122773	0.38478892735930553	0.7142857142857143
SATB2	32	31	20	0.13875690375358402	0.13163866304497457	0.2745549462958323	0.6451612903225806
ATF5	31	30	20	0.13964149947935398	0.1256003872404549	0.3284354277072371	0.6666666666666666
IRF5	37	36	20	0.12938100969621716	0.11348404284958938	0.3860081676463804	0.5555555555555556
SMAD1	74	74	20	0.0757871696576713	0.061961109799200775	0.30245332625445787	0.2702702702702703
NFIX	28	27	19	0.1932755386520488	0.2045999576675159	0.44632733707395456	0.7037037037037037
POU3F2	30	29	19	0.14883797595451073	0.15945981258408232	0.37331234468822677	0.6551724137931034
KLF1	29	28	19	0.1625634142287253	0.15855786654454296	0.4408879324625606	0.6785714285714286
GRHL3	29	29	19	0.2050997572037287	0.15640103696583627	0.6409238525569717	0.6551724137931034
POU4F2	34	34	19	0.12832420994612107	0.12066853185359412	0.2898220758981756	0.5588235294117647
PROX1	34	34	19	0.12747239804635382	0.10827963432211503	0.34583737018514593	0.5588235294117647
NRG1	36	35	19	0.16945621105727499	0.10732057603089004	0.5287399438625832	0.5428571428571428
LHX2	42	41	19	0.10108570006108898	0.08802730920485281	0.26306967273360554	0.4634146341463415
RFX5	24	23	18	0.2325434609940408	0.2451157393280628	0.4277527284441349	0.782608695652174
HSF2	25	24	18	0.19827644405054623	0.22402384396576178	0.38231818138709717	0.75
BCL3	29	28	18	0.16817538619063468	0.14155118722660381	0.4325269514540743	0.6428571428571429
NFIB	26	26	18	0.13770120957145932	0.13487316803083102	0.2755218818942124	0.6923076923076923
MTF1	33	32	18	0.14191454635258535	0.12287974632228271	0.4083920017265519	0.5625
ID3	36	35	18	0.12624809794024247	0.10664785947521113	0.3539392619069053	0.5142857142857142
ZBTB7A	37	36	18	0.14091048524246746	0.09653776462425268	0.38179793816091057	0.5
FOSB	39	38	18	0.14016871790390348	0.09227882835995149	0.8426841743193065	0.47368421052631576
NR4A3	41	40	18	0.08972141943530328	0.08953208966162157	0.24362468863251663	0.45
TBPL1	40	39	18	0.12610458262439422	0.08807367569931755	0.4473134780057366	0.46153846153846156
NFATC4	43	42	18	0.1046178674233533	0.07795852845975376	0.31868980472225933	0.42857142857142855
ERG	59	58	18	0.07918325964362785	0.058250843131863905	0.25881270502388787	0.3103448275862069
IRF9	28	27	17	0.2661652136172882	0.228005763049852	0.6160277111488089	0.6296296296296297
ELK3	28	28	17	0.17484575544627684	0.12350000339870776	0.5816087783123969	0.6071428571428571
FOXO4	30	30	17	0.13660105527199923	0.1084317102638607	0.3168874129752157	0.5666666666666667
DBP	35	35	17	0.11251395550289783	0.09941443174680732	0.35704652147639754	0.4857142857142857
KDM5B	36	35	17	0.1014899262097461	0.09849983768086741	0.39223325406825293	0.4857142857142857
NR1H2	50	49	17	0.09286042658318512	0.0734197298987101	0.34228363137932943	0.3469387755102041
NR5A2	65	64	17	0.07101069187402197	0.059762719629528865	0.27206628386285353	0.265625
MAFB	47	46	17	0.09922025947885377	0.05489874987173863	0.37232501215667513	0.3695652173913043
SFPQ	29	29	16	0.18895325856781167	0.1721634646795757	0.5449521423756728	0.5517241379310345
NEUROG2	26	25	16	0.12075501365564437	0.14011977302375186	0.2773745641636066	0.64
SMAD6	25	24	16	0.14733881862233097	0.13563373902632567	0.3332797294195781	0.6666666666666666
TEAD1	25	25	16	0.1687165187559817	0.1296509594840468	0.43970768585427916	0.64
GATA5	28	27	16	0.11252593501124049	0.12497918277572269	0.25272986464419156	0.5925925925925926
KLF10	30	30	16	0.15277554429083115	0.10964774792816438	0.4267639616313628	0.5333333333333333
PPARGC1A	33	32	16	0.1035369734103806	0.09908972997658388	0.24914621227298472	0.5
NEUROG3	36	35	16	0.10368300033195668	0.0967408573591242	0.2677754205652444	0.45714285714285713
OTX2	43	42	16	0.09553186692672185	0.08626986625272323	0.2550149197653301	0.38095238095238093
