holdout	metric	context_a	context_b	seed	a	b	delta_b_minus_a
unseen_cell_line	test_macro_auprc	expression_programs	expression_regulons_programs	43	0.4510026362602506	0.4457249577221729	-0.005277678538077701
unseen_cell_line	test_macro_auprc	expression_programs	expression_regulons_programs	44	0.44408239976930924	0.44181384716839345	-0.0022685526009157964
unseen_cell_line	test_macro_auprc	expression_programs	expression_regulons_programs	45	0.446648002519986	0.4525902296040285	0.005942227084042517
unseen_cell_line	test_macro_auprc	expression_programs	expression_regulons_programs	46	0.44956711469119676	0.46540120885672426	0.0158340941655275
unseen_cell_line	test_antagonism_auprc	expression_programs	expression_regulons_programs	42	0.22523802219949296	0.20894439394851025	-0.01629362825098271
unseen_cell_line	test_antagonism_auprc	expression_programs	expression_regulons_programs	43	0.21070663624787533	0.17737848394845657	-0.03332815229941877
unseen_cell_line	test_antagonism_auprc	expression_programs	expression_regulons_programs	44	0.18842117967086364	0.20863998941990194	0.020218809749038308
unseen_cell_line	test_antagonism_auprc	expression_programs	expression_regulons_programs	45	0.18680304488066146	0.19285527208680964	0.006052227206148175
unseen_cell_line	test_antagonism_auprc	expression_programs	expression_regulons_programs	46	0.18970006847889398	0.22709426336364902	0.03739419488475504
unseen_cell_line	test_synergy_auprc	expression_programs	expression_regulons_programs	42	0.24618588580726633	0.2223189042866724	-0.02386698152059394
unseen_cell_line	test_synergy_auprc	expression_programs	expression_regulons_programs	43	0.21198331388545769	0.23228482998508285	0.02030151609962516
unseen_cell_line	test_synergy_auprc	expression_programs	expression_regulons_programs	44	0.22491563059535838	0.19526784492840765	-0.029647785666950727
unseen_cell_line	test_synergy_auprc	expression_programs	expression_regulons_programs	45	0.2226111838613953	0.24136147698490523	0.018750293123509926
unseen_cell_line	test_synergy_auprc	expression_programs	expression_regulons_programs	46	0.24008813227939316	0.2440933638826897	0.00400523160329655
unseen_cell_line	test_macro_f1	regulons_programs	expression_regulons_programs	42	0.47636225793269227	0.4621664395878704	-0.014195818344821864
unseen_cell_line	test_macro_f1	regulons_programs	expression_regulons_programs	43	0.4733953624980412	0.46584886703170963	-0.007546495466331571
unseen_cell_line	test_macro_f1	regulons_programs	expression_regulons_programs	44	0.474601605804346	0.44313496589783335	-0.03146663990651266
unseen_cell_line	test_macro_f1	regulons_programs	expression_regulons_programs	45	0.46146972180094775	0.4603245949117984	-0.0011451268891493616
unseen_cell_line	test_macro_f1	regulons_programs	expression_regulons_programs	46	0.444894882492171	0.4754965730935293	0.030601690601358256
unseen_cell_line	test_balanced_accuracy	regulons_programs	expression_regulons_programs	42	0.5493442800570277	0.5394853629739441	-0.009858917083083618
unseen_cell_line	test_balanced_accuracy	regulons_programs	expression_regulons_programs	43	0.5351182461259968	0.5107347616247442	-0.024383484501252606
unseen_cell_line	test_balanced_accuracy	regulons_programs	expression_regulons_programs	44	0.5495163892013868	0.5271025034976143	-0.02241388570377245
unseen_cell_line	test_balanced_accuracy	regulons_programs	expression_regulons_programs	45	0.5529767690825395	0.5503968066038691	-0.002579962478670317
