drugcomb_id	dname	inchikey	n_seed_symbols	n_symbols_mapped_to_ensembl	n_targets_in_huri	fraction_targets_in_huri	drug_target_status	seed_symbols	huri_target_ensembl
1268	ranitidine	VMXUWOKSQNHOCA-UKTHLTGXSA-N	1	1	0	0.0	targets_known_but_none_in_huri	HRH2	
1269	Luliconazole	YTAOBBFIOAEMLL-REQDGWNSSA-N	0	0	0		no_known_targets		
1270	TOREMIFENE CITRATE	IWEQQRMGNVVKQW-OQKDUQJOSA-N	1	1	0	0.0	targets_known_but_none_in_huri	HTR6	
1271	Telaprevir	BBAWEDCPNXPBQM-GDEBMMAJSA-N	9	9	0	0.0	targets_known_but_none_in_huri	CELA1;CMA1;CTSB;CTSK;CTSL;CTSS;CTSV;ELANE;PLG	
1272	Lomeguatrib	JUJPKFNFCWJBCX-UHFFFAOYSA-N	1	1	0	0.0	targets_known_but_none_in_huri	MGMT	
1273	MPEP	NEWKHUASLBMWRE-UHFFFAOYSA-N	4	4	1	0.25	targets_mapped_to_huri	CYP1A2;GRM1;GRM5;HDAC6	ENSG00000140505
1274	SNS-032	OUSFTKFNBAZUKL-UHFFFAOYSA-N	86	86	37	0.43023255813953487	targets_mapped_to_huri	AURKA;AURKC;BRAF;BRSK2;CAMKK2;CASK;CDK1;CDK11A;CDK11B;CDK12;CDK13;CDK14;CDK15;CDK16;CDK17;CDK18;CDK19;CDK2;CDK3;CDK4;CDK5;CDK6;CDK7;CDK8;CDK9;CDKL2;CDKL3;CDKL5;CILK1;CIT;CLK1;CLK2;CLK4;COQ8B;CSNK1A1;CSNK1D;CSNK1E;DCLK1;DCLK2;DCLK3;DYRK1A;DYRK1B;DYRK2;ERCC2;FLT1;FLT3;GAK;GSK3A;GSK3B;HIPK1;HIPK2;HIPK3;IRAK3;MAK;MAP3K7;MAPK10;MAPK15;MAPK4;MAPK6;MAPK7;MAST1;MELK;MET;MKNK1;MKNK2;MYLK2;MYLK3;MYLK4;NUAK2;PAK3;PHKG1;PHKG2;PRKAA1;PRKD1;PRKD2;PRKD3;RIOK2;RPS6KA5;STK17A;STK36;STRADA;TAOK1;TAOK2;TAOK3;TGFBR2;ULK1	ENSG00000105146;ENSG00000174672;ENSG00000147044;ENSG00000065883;ENSG00000102225;ENSG00000059758;ENSG00000117266;ENSG00000250506;ENSG00000135446;ENSG00000164885;ENSG00000105810;ENSG00000136807;ENSG00000006837;ENSG00000008086;ENSG00000013441;ENSG00000176444;ENSG00000113240;ENSG00000141551;ENSG00000213923;ENSG00000133083;ENSG00000170390;ENSG00000157540;ENSG00000105204;ENSG00000163349;ENSG00000090376;ENSG00000109339;ENSG00000069956;ENSG00000166484;ENSG00000079277;ENSG00000099875;ENSG00000163545;ENSG00000077264;ENSG00000156873;ENSG00000115825;ENSG00000058729;ENSG00000100784;ENSG00000149930
1275	benfotiamine	BTNNPSLJPBRMLZ-LGMDPLHJSA-N	0	0	0		no_known_targets		
1276	LEVOSIMENDAN	WHXMKTBCFHIYNQ-SECBINFHSA-N	1	1	1	1.0	targets_mapped_to_huri	TNNC1	ENSG00000114854
1277	Clomifene citrate	PYTMYKVIJXPNBD-OQKDUQJOSA-N	0	0	0		no_known_targets		
1278	GESTODENE	SIGSPDASOTUPFS-XUDSTZEESA-N	1	1	0	0.0	targets_known_but_none_in_huri	PGR	
1279	ABT-751	URCVCIZFVQDVPM-UHFFFAOYSA-N	0	0	0		no_known_targets		
1280	Safinamide mesylate	YKOCHIUQOBQIAC-YDALLXLXSA-N	2	2	1	0.5	targets_mapped_to_huri	MAOA;MAOB	ENSG00000069535
1281	Tandutinib	UXXQOJXBIDBUAC-UHFFFAOYSA-N	40	40	16	0.4	targets_mapped_to_huri	ACVR1;AURKB;AURKC;AXL;CDK16;CDK7;CDKL2;CLK1;CLK2;CLK3;CLK4;CSF1R;DDR1;DDR2;EGFR;EPHB6;FARSB;FLT1;FLT3;FLT4;GAK;HIPK4;IRAK1;IRAK3;KIT;LCK;MAP2K5;MAP3K19;MAP4K5;MERTK;NTRK1;NTRK2;NTRK3;PDGFRA;PDGFRB;PLK4;SEPTIN9;SLK;SRC;STK10	ENSG00000105146;ENSG00000102225;ENSG00000013441;ENSG00000176444;ENSG00000179335;ENSG00000113240;ENSG00000204580;ENSG00000106123;ENSG00000116120;ENSG00000090376;ENSG00000182866;ENSG00000137764;ENSG00000134853;ENSG00000113721;ENSG00000142731;ENSG00000184640
1282	209410-46-8	VEPKQEUBKLEPRA-UHFFFAOYSA-N	25	25	11	0.44	targets_mapped_to_huri	ABL1;ABL2;BLK;CSF1R;DDR1;EPHA1;EPHA2;EPHA4;EPHA5;EPHA8;EPHB1;EPHB4;FGR;FRK;FYN;HCK;HTR2A;LCK;LYN;MAPK11;MAPK14;PDGFRA;PDGFRB;SRC;YES1	ENSG00000097007;ENSG00000143322;ENSG00000136573;ENSG00000204580;ENSG00000111816;ENSG00000010810;ENSG00000101336;ENSG00000182866;ENSG00000134853;ENSG00000113721;ENSG00000176105
1283	Ivabradine hydrochloride	HLUKNZUABFFNQS-ZMBIFBSDSA-N	1	1	0	0.0	targets_known_but_none_in_huri	HCN4	
1284	Prucalopride	ZPMNHBXQOOVQJL-UHFFFAOYSA-N	4	4	0	0.0	targets_known_but_none_in_huri	AP4S1;DRD4;HTR3A;HTR4	
1285	Rasagiline mesylate	JDBJJCWRXSVHOQ-UTONKHPSSA-N	5	5	2	0.4	targets_mapped_to_huri	ACHE;BCHE;HTR6;MAOA;MAOB	ENSG00000114200;ENSG00000069535
1286	salinomycin	KQXDHUJYNAXLNZ-XQSDOZFQSA-N	0	0	0		no_known_targets		
1287	Mdivi-1	NZJKEVWTYMOYOR-UHFFFAOYSA-N	0	0	0		no_known_targets		
1288	Sulfacetamide sodium	PQMSFAORUFMASU-UHFFFAOYSA-M	0	0	0		no_known_targets		
1289	Ferrostatin-1	UJHBVMHOBZBWMX-UHFFFAOYSA-N	1	1	0	0.0	targets_known_but_none_in_huri	ALOX15	
1290	264218-23-7	PQCXVIPXISBFPN-UHFFFAOYSA-N	2	2	0	0.0	targets_known_but_none_in_huri	GSK3A;GSK3B	
1291	288150-92-5	JTARFZSNUAGHRB-UHFFFAOYSA-N	6	6	0	0.0	targets_known_but_none_in_huri	DRD1;DRD2;HCRTR1;HCRTR2;HTR2B;SIGMAR1	
1292	301836-41-9	FHYUGAJXYORMHI-UHFFFAOYSA-N	9	9	2	0.2222222222222222	targets_mapped_to_huri	ACVR1B;CSNK1A1L;CSNK1D;CSNK1E;MAPK14;RIPK2;RPS6KA1;TGFBR1;TGFBR2	ENSG00000141551;ENSG00000213923
1293	Tolcapone	MIQPIUSUKVNLNT-UHFFFAOYSA-N	2	2	2	1.0	targets_mapped_to_huri	COMT;TTR	ENSG00000093010;ENSG00000118271
1294	JNJ-7777120	HUQJRYMLJBBEDO-UHFFFAOYSA-N	4	4	0	0.0	targets_known_but_none_in_huri	HRH1;HRH2;HRH3;HRH4	
1295	Diclofenac sodium	KPHWPUGNDIVLNH-UHFFFAOYSA-M	6	6	1	0.16666666666666666	targets_mapped_to_huri	AKR1B10;AKR1C3;CXCL8;PTGS1;PTGS2;TTR	ENSG00000118271
1296	IMD-0354	CHILCFMQWMQVAL-UHFFFAOYSA-N	7	7	4	0.5714285714285714	targets_mapped_to_huri	CHUK;IKBKB;MAP4K5;MYLK;P2RX1;P2RX4;P2RX7	ENSG00000065534;ENSG00000108405;ENSG00000135124;ENSG00000089041
1297	49843-98-3	FUZYTVDVLBBXDL-UHFFFAOYSA-N	3	3	0	0.0	targets_known_but_none_in_huri	SIRT1;SIRT2;SIRT3	
1298	Elvitegravir	JUZYLCPPVHEVSV-LJQANCHMSA-N	1	1	0	0.0	targets_known_but_none_in_huri	METTL3	
1299	KU-55933	XRKYMMUGXMWDAO-UHFFFAOYSA-N	6	6	1	0.16666666666666666	targets_mapped_to_huri	ATM;HDAC6;MTOR;PIK3CA;PIK3CB;PRKDC	ENSG00000149311
1300	quercetin	REFJWTPEDVJJIY-UHFFFAOYSA-N	75	75	25	0.3333333333333333	targets_mapped_to_huri	ABCB1;ABCC1;ACHE;AKR1B1;AKR1B10;AKT1;ALK;ALOX5;APP;AURKB;AVPR2;AXL;BACE1;CA1;CA12;CA14;CA2;CA3;CA4;CA5A;CA6;CA7;CA9;CAMK2B;CCR4;CSNK2A1;CSNK2A3;CTNNB1;CXCR1;CYP19A1;CYP1A1;CYP1B1;DAPK1;DPP4;DRD4;ELAVL1;ELAVL3;F2;FLT3;FTO;GLO1;GSK3B;HDAC6;HNRNPA1;HSD17B2;IGF1R;IP6K2;IPMK;KDM1A;KDR;MAOA;MET;MMP13;MMP2;MMP3;MMP9;MPO;NEK2;NEK6;NUAK1;PIK3CG;PIM1;PKN1;PLK1;PNLIP;PSMB5;PTK2;PYGL;SIRT6;SLCO2B1;SPHK1;SRC;TRPC5;XDH;YES1	ENSG00000085662;ENSG00000142208;ENSG00000012779;ENSG00000142192;ENSG00000126895;ENSG00000164879;ENSG00000107159;ENSG00000058404;ENSG00000183813;ENSG00000101266;ENSG00000163464;ENSG00000140718;ENSG00000140443;ENSG00000068745;ENSG00000151151;ENSG00000004487;ENSG00000087245;ENSG00000119408;ENSG00000123143;ENSG00000166851;ENSG00000100804;ENSG00000169398;ENSG00000100504;ENSG00000158125;ENSG00000176105
1301	biochanin A	WUADCCWRTIWANL-UHFFFAOYSA-N	8	8	1	0.125	targets_mapped_to_huri	CA12;CA4;CA7;CBR1;CYP19A1;CYP1B1;HSD17B2;KDM1A	ENSG00000004487
1302	formononetin	HKQYGTCOTHHOMP-UHFFFAOYSA-N	4	4	1	0.25	targets_mapped_to_huri	BCL2;CYP1B1;HDAC6;IL2	ENSG00000171791
1303	apigenin	KZNIFHPLKGYRTM-UHFFFAOYSA-N	33	33	10	0.30303030303030304	targets_mapped_to_huri	ABCB1;ABCC1;ACHE;AKR1B10;BACE1;CA1;CA2;CA4;CDK6;CFTR;CSNK2A1;CSNK2A3;CYP19A1;CYP1A1;CYP1B1;DPP4;FLT3;GSK3B;HDAC6;HSD17B1;IP6K2;MAOA;MAOB;MKNK2;MPO;NLRP3;PKM;PSMB5;SLC2A9;TNKS;TNKS2;TTR;XDH	ENSG00000105810;ENSG00000101266;ENSG00000108786;ENSG00000068745;ENSG00000069535;ENSG00000099875;ENSG00000100804;ENSG00000173273;ENSG00000118271;ENSG00000158125
1304	luteolin	IQPNAANSBPBGFQ-UHFFFAOYSA-N	45	45	16	0.35555555555555557	targets_mapped_to_huri	ADAMTS4;AKR1B1;AKR1B10;ALOX15;ALOX5;APP;BACE1;CA1;CA12;CA2;CA4;CA7;CD38;CSNK2A3;CYP19A1;CYP1A1;CYP1B1;DPP4;FLT3;FTO;GLO1;GSK3B;HDAC6;IP6K2;IPMK;MAOA;MKNK1;MKNK2;MMP12;MMP2;MMP9;PARP1;PKMYT1;PSMB5;QPCTL;RPS6KA3;SETD7;SIRT6;SLC16A1;SLCO2B1;TNKS;TNKS2;TTR;XDH;YES1	ENSG00000085662;ENSG00000012779;ENSG00000142192;ENSG00000140718;ENSG00000068745;ENSG00000151151;ENSG00000079277;ENSG00000099875;ENSG00000087245;ENSG00000127564;ENSG00000100804;ENSG00000011478;ENSG00000173273;ENSG00000118271;ENSG00000158125;ENSG00000176105
