training_name	normalized_name	drugcomb_id	drugcomb_reference_name	mapping_status	match_type
3-(2,6-dichloro-3,5-dimethoxy-phenyl)-1-[6-[4-(4-ethylpiperazin-1-yl)anilino]pyrimidin-4-yl]-1-methyl-urea	3-(2,6-dichloro-3,5-dimethoxy-phenyl)-1-[6-[4-(4-ethylpiperazin-1-yl)anilino]pyrimidin-4-yl]-1-methyl-urea	1962.0	3-(2,6-dichloro-3,5-dimethoxy-phenyl)-1-[6-[4-(4-ethylpiperazin-1-yl)anilino]pyrimidin-4-yl]-1-methyl-urea	mapped	exact
3-(3,4-Dihydroxyphenyl)lactate	3-(3,4-dihydroxyphenyl)lactate	2636.0	3-(3,4-Dihydroxyphenyl)lactate	mapped	exact
3-Amino-2-oxazolidinone	3-amino-2-oxazolidinone	159.0	3-Amino-2-oxazolidinone	mapped	exact
3-Deazaneplanocin	3-deazaneplanocin	978.0	3-Deazaneplanocin	mapped	exact
3-aminobenzamide	3-aminobenzamide	441.0	3-aminobenzamide	mapped	exact
3-methyladenine	3-methyladenine	442.0	3-methyladenine	mapped	exact
300842-64-2	300842-64-2	3834.0	300842-64-2	mapped	exact
301836-41-9	301836-41-9	1292.0	301836-41-9	mapped	exact
301836-43-1	301836-43-1	2131.0	301836-43-1	mapped	exact
303727-31-3	303727-31-3	2463.0	303727-31-3	mapped	exact
30562-34-6	30562-34-6	3177.0	30562-34-6	mapped	exact
30675-13-9	30675-13-9	1256.0	30675-13-9	mapped	exact
3094-09-5	3094-09-5	3313.0	3094-09-5	mapped	exact
309928-48-1	309928-48-1	2643.0	309928-48-1	mapped	exact
313516-66-4	313516-66-4	1259.0	313516-66-4	mapped	exact
314042-01-8	314042-01-8	2688.0	314042-01-8	mapped	exact
314245-33-5	314245-33-5	1212.0	314245-33-5	mapped	exact
315183-21-2	315183-21-2	1464.0	315183-21-2	mapped	exact
315703-52-7	315703-52-7	2224.0	315703-52-7	mapped	exact
317318-70-0	317318-70-0	2178.0	317318-70-0	mapped	exact
319460-94-1	319460-94-1	3832.0	319460-94-1	mapped	exact
32981-86-5	32981-86-5	1041.0	32981-86-5	mapped	exact
331771-20-1	331771-20-1	1550.0	331771-20-1	mapped	exact
33419-42-0	33419-42-0	4629.0	33419-42-0	mapped	exact
34031-32-8	34031-32-8	4046.0	34031-32-8	mapped	exact
342641-94-5	342641-94-5	3086.0	342641-94-5	mapped	exact
347323-96-0	347323-96-0	2813.0	347323-96-0	mapped	exact
348622-88-8	348622-88-8	1506.0	348622-88-8	mapped	exact
34933-06-7	34933-06-7	3252.0	34933-06-7	mapped	exact
356559-20-1	356559-20-1	1569.0	356559-20-1	mapped	exact
357263-14-0	357263-14-0	3357.0	357263-14-0	mapped	exact
35922-06-6	35922-06-6	2153.0	35922-06-6	mapped	exact
371942-69-7	371942-69-7	1567.0	371942-69-7	mapped	exact
372196-67-3	372196-67-3	2657.0	372196-67-3	mapped	exact
38194-50-2	38194-50-2	2958.0	38194-50-2	mapped	exact
386750-22-7	386750-22-7	1488.0	386750-22-7	mapped	exact
391210-10-9	391210-10-9	26.0	391210-10-9	mapped	exact
